question,answer,correct_answer,context
"The paper mentions Eigenvalue Decomposition (EVD) as well as Singular Value Decomposition numerous times. How are the two related, and how are they different?","A loss function that encourages the model to retain the prior distribution of the data, in order to overcome overfitting and language drift issues","The grouping matrix is symmetric and real, which guarantees to have real eigen values as well as vectors. The additional connection between SVD and EVD given this property of the grouping matrix cannot be found in this paper.","The pooling operator S is a square matrix with size of nl × nl, yet the eigen value Λ suppresses"
"How was the hyperparameters chosen for the baseline methods, and what were the chosen values for he experiments presented?","Choose a finite subset \mathcal{C}_{S} of less or equal to K elements from S, where K is the bottleneck dimension of f","For baseline pooling methods, we perform grid search following previous work, and present best results. We fix the final pooling size to 10 as the average size of most common 40 functional groups in bioactive molecules is 4.25.","For baseline pooling methods that require the cluster size as a hyperparameter, we perform grid search across candidates following previous work, and present best results.However, we fix the final pooling size to 10 as the average size of most common 40 functional groups in bioactive molecules is 4.25 ertl2020most , indicating that molecules under concern (statistics shown in Table 1) can have up to 10 clusters.The specific hyperparameter setups used for pooling baselines can be found in appendix."
What makes GMPool and NGMPool novel compared to existing graph pooling methods?,Content-controlled and structure-controlled,GMPool and NGMPool overcome the limitation of existing pooling frameworks that require a universal number of clusters as user parameter by first building a grouping matrix and decomposing the matrix into its square-root form.,"In this section, we propose a novel differentiable pooling layer, GMPool, which obtains the pooling matrix by first building a grouping matrix that contains clustering similarities of pairwise nodes and then decomposing the matrix into its square-root form. We start the section with preliminary information, then outline the details of GMPool in later sections. To overcome this challenge, we propose GMPool, a general pooling framework that does not require an universal number of clusters as a user hyperparameter. Figure 1 depicts the overall framework of GMPool. The core intuition is that the product of a pooling matrix with itself forms a grouping matrix, where each (i,j)-th entry indicates the pairwise clustering similarity: whether the nodes i and j are pooled to the same clusters. For each graph, GMPool parameterizes the clustering similarities in its grouping matrix via a classification layer. Finally, we perform SVD on the grouping matrix to obtain the pooling matrix such that the overall rank represents the suitable number of clusters. We also test a single-pooling variant NGMPool that does not perform any decomposition, but rather uses the grouping matrix as is. In real-world molecular property prediction tasks, we show that our approach outperforms previous baselines, while successfully learning suitable clusters. The main contributions of this paper are as follows:•We design a grouping matrix-based pooling operator that does not require users to specify the number of clusters a priori.•We propose GMPool and NGMPool. GMPool performs SVD on the grouping matrix to obtain the pooling matrix, whereas NGMPool utilizes the grouping matrix as is.•We demonstrate the power of our methods both quantitatively and qualitatively on a wide range of real molecular property prediction tasks. However, the pooling methods above all share a common limitation: the number of clusters must be predefined for each layer as hyperparameters. This limitation is especially detrimental in inductive settings such as molecular property prediction, where each graph can have varying numbers of useful sub-structures. https://doi.org/10.1111/cbdd.12952 ; doi:10.1021/acs.jmedchem.0c00754 ; GUVENCH20161928  Allowing the model to pool towards varying number of clusters based on data is expected to enhance performance, and our proposed GMPool allows such variation through the rank of the grouping matrix. To the best of our knowledge, GMPool is the first to achieve high performance without the need to manually adjust the number of clusters through additional hyperparameter tuning."
Why did the authors choose to test the proposed graph pooling method specifically on molecular property prediction tasks?,"The contribution of this paper is a fast NPU-aware NAS methodology that extends the Single-Path NAS technique with a tighter latency constraint and compound scaling, leading to a network with high accuracy and low latency on the target NPU",The proposed graph pooling method was tested specifically on molecular property prediction tasks because predefining the number of clusters is especially detrimental in molecular property prediction where there is no single number of clusters that is suitable across all graphs. The number of functional groups that determine useful characteristics and chemical behaviors can vary significantly across different molecules.,"In most inductive settings, there is no single number of clusters that is suitable across all graphs in the dataset.Particularly in molecular graphs, the number of functional groups often determines useful characteristics and chemical behaviors, while varying significantly across different molecules.Nonetheless, existing pooling methods require the number of clusters as a hyperparameter, then operates under the assumption that all graphs share the same number of clusters ranjan2020asap . This is often undesirable as it not only requires additional hyperparameter tuning, but also imposes a strong inductive bias that deteriorates downstream performance. However, the pooling methods above all share a common limitation: the number of clusters must be predefined for each layer as hyperparameters. This limitation is especially detrimental in inductive settings such as molecular property prediction, where each graph can have varying numbers of useful sub-structures. https://doi.org/10.1111/cbdd.12952 ; doi:10.1021/acs.jmedchem.0c00754 ; GUVENCH20161928  Allowing the model to pool towards varying number of clusters based on data is expected to enhance performance, and our proposed GMPool allows such variation through the rank of the grouping matrix. To the best of our knowledge, GMPool is the first to achieve high performance without the need to manually adjust the number of clusters through additional hyperparameter tuning."
How do the authors deal with the numerical instability that may occur due to incorporating SVD into the proposed method?,The metrics used to compare the efficiency of different methods for computing adversarial perturbations are the running time required for each method to compute one adversarial sample,GMPool decomposes the grouping matrix using a method that approximates gradients in SVD to stabilize gradient computations.,"After acquiring the pooling operator, the pooling process becomes obvious. Nodes are in fundamental representation while edge features and adjacency matrix are in adjoint representation. Which leads to the following transformation rules.\displaystyle X_{i}^{(l+1)}=S^{(l)}X_{i}^{(l)}(13)\displaystyle E_{ij}^{(l+1)}=S^{(l)}E_{ij}^{(l)}S^{(l)T}(14)\displaystyle A_{ij}^{(l+1)}=S^{(l)}A_{ij}^{(l)}S^{(l)T}(15)If grouping is properly done, 0 (or close to 0) components will appear in the decomposed eigen value matrix. These zero eigenvalues arise naturally and play a role in disregarding group information; those are ineffective towards prediction. However, zero elements in the eigen values causes a major problem in the decomposition process since the matrix might carry a singular determinant.Eigen decomposition is based on an iterative approximation algorithm which includes unbounded terms if any two eigen values are small or close. One can see clearly about this matter in DBLP:journals/corr/IonescuVS15 .\Big{(}\frac{\partial{l}}{\partial{A}}\Big{)}=U\big{(}K^{T}\odot(U^{T}\frac{\partial{l}}{\partial{U}})+(\frac{\partial{l}}{\partial{\Lambda}})_{\textrm{diag}})(U^{T})(16)Here, \odot denotes element-wise product. Off-diagonal components of K=1/(\lambda_{i}-\lambda_{j}) causes the problem, since the value blows up to the infinity if any two eigen values are close or very small. However, there are some solutions for this matter by approximating gradient in different ways DBLP:journals/corr/abs-1906-09023 ; 9400752 ; DBLP:journals/corr/abs-2105-02498 . Those methods are developed further to achieve higher speed in the calculation DBLP:journals/corr/abs-2201-08663 . They claim that the method is noticeably faster, over 8 times, than the standard SVD which has the time complexity \mathcal{O}(n^{3}). Thus, we utilized this method in our work to stabilize and accelerate the learning process. However, since the algorithm achieves the higher speed by approximating gradients, the error compared to standard SVD grows bigger as the size of the matrix grows. Therefore, this method might not be valid with large sized graph data. While our model is useful and effective, there is still room for improvement. First of all, despite leveraging a method to decompose the grouping matrix with stable gradient computations, there exist corner cases with a small eigengap at which the model fails to converge. This event seldom happens (about 0.00018\% in our experiments), but can be non-negligible when one needs to learn with a large number of data points. Hence, one future direction would be to impose proper constraints on the loss to avoid such gradient blowup in the grouping matrix."
"Would it be possible to reduce the asymptotic cost of GMPool from cubic to quadratic, yet retain its expressive power?","To remedy the problem of the classifier assigning reasonable probabilities to the desired classes for the final samples, but these samples not matching the intended classes upon visual inspection. Scaling up the classifier gradients increased the class probabilities from the classifier to nearly 100%, but also focused more on the modes of the classifier, potentially desirable for producing higher fidelity samples","One future direction to enhance scalability of GMPool is to incorporate faster decomposition modules such as randomized approximation methods. However, this is likely to incur loss in predictive performance.","Another future direction would be to enhance scalability of our methods to improve applicability to large-scale graphs. Since the grouping matrix decomposition step via SVD is the main computational bottleneck of GMPool, incorporating faster decomposition modules such as randomized approximation halko2011finding ; DBLP:journals/corr/abs-1710-02812  methods can lead to faster inference. However, this is likely to incur loss in predictive performance, and as the focus of this work lies in allowing variation in the number of clusters in small molecular graphs where scalability is not an issue, we defer improving the scalability to future work."
The paper mentions GMPool can be used with any GNN architecture besides DMPNN. Are there any results leveraging more recent GNN architectures such as GIN or Graph Transformers?,"The proposed method aggregates explicit knowledge into implicit knowledge for query and passage embedding through the following components:

1. Graph Meta Network (GMN) module, which refines knowledge with the constructed meta-graph \mathbf{G}_{\mathbf{q},\mathbf{p}} and propagates knowledge between query and passage.
2. Novel interaction module between text and knowledge graph, which combines implicit and explicit knowledge.
3. Knowledge injector module, which aggregates word and entity representations from PLM and GMN, respectively, to inject implicit knowledge from text corpus into the passage embedding","While the authors chose DMPNN due to its superior performance over GNN architectures, the proposed pooling layer is module-agnostic and can be combined with any GNN. Results leveraging more recent GNN architectures such as GIN or Graph Transformers cannot be found in this paper.","As our backbone GNN, we adopt the Directed Message Passing Neural Network (DMPNN) doi:10.1021/acs.jcim.9b00237  which aggregates messages through directed edges. Note that while we chose DMPNN due to its superior performance over GNN architectures, our pooling layer is module-agnostic and can be combined with any GNN as long as node representations are returned as output.Given a graph, DMPNN first initializes the hidden state of each edge (i,j) based on its feature E_{ij} and the source-node’s feature X_{i}. At each timestep t, each directional edge gathers hidden states from incident edges into a message m_{ij}^{t+1} and updates its own hidden state to h_{ij}^{t+1} as follows\displaystyle m_{ij}^{t+1}=\sum_{k\in\mathcal{N}(i)\setminus j}h_{ki}^{t}(1)\displaystyle h_{ij}^{t+1}=\texttt{ReLU}(h_{ij}^{0}+W_{e}m_{ij}^{t+1})(2)Here, \mathcal{N}(i) denotes the set of neighboring nodes of node i and W_{e} a learnable weight. The hidden states of nodes are updated by aggregating the hidden states of incident edges into message m_{i}^{t+1}, and passing its concatenation with the node feature X_{i} into a linear layer followed by ReLU non-linearity\displaystyle m_{i}^{t+1}=\sum_{j\in\mathcal{N}(i)}h_{ij}^{t}(3)\displaystyle h_{i}^{t+1}=\texttt{ReLU}(W_{n}\texttt{concat}(X_{i},m_{i}^{t+1}))(4)Similarly, W_{n} denotes a learnable weight. Assuming DMPNN runs for T timesteps, we use (X_{out},E_{out})=\texttt{GNN}(A,X,E) to denote the output representation matrices containing hidden states of all nodes and edges, respectively (i.e., X_{out,i}=h_{i}^{T} and E_{out,ij}=h_{ij}^{T})."
Why is deduplication chosen as one of the baselines?,"The β-VAE objective contributes to disentangling through direct control of the level of overlap between encodings of the data, maximizing the entropy of the encoding distribution",Deduplicating the pretraining corpora proves to mitigate privacy risks for LMs.,"In this work, we compare our proposed method with a data preprocessing approach proposed by Kandpal et al. (2022) which shows that deduplicating the training corpora before pretraining helps pretrain LMs that show stronger robustness against extraction attacks than an LM pretrained under the same circumstances without deduplicating the pretraining corpora. However, we highlight that this approach, which may still be effective at mitigating the overall privacy risks, is not the most suitable approach when considering a realistic scenario of individuals requesting the removal of their information from the implicit parameters of the LMs."
Only a small number of examples (32) are randomly selected to be unlearned. Have the authors tried unlearning much larger portions of the training data and observing the effect on the resulting model?,By normalizing the attention coefficients using a softmax function,Results show that forgetting 128 samples at once results in a severe degradation of general LM performance while forgetting 32 samples does not.,"We show the effect of varying s (the # of data instances to be forgotten at once) in Figure 2a across model scales. We denote this approach as batch unlearning. As shown by the s=128 results, it is harder to forget more samples at once, resulting in substantial degradation of average LM performance regardless of how large the LM is. Since s\leq 32 does not show much degradation, we explore if sequentially unlearning can be a solution. In Figure 2b, we show the result of dividing the 128 samples into 4 chunks of 32 and performing sequential unlearning; we unlearn each chunk at a time until the chunk reaches the forgetting threshold. Surprisingly, as shown by the performance gap at s=128 between the dotted lines (the s=128 performance of Figure 2a) and straight lines, the end result is vastly different even though exactly the same instances were forgotten. Sequential unlearning shows almost no degradation of average LM performance. In Appendix G, we show that chunks once forgotten stay forgotten and that later chunks are forgotten much faster compared to the initial chunk. This result hints at the generalization of unlearning, which we do not further explore in the scope of this work. The result also suggests that knowledge unlearning can be continually applied to LMs when needed."
How much does the success of the EL metric vary depending on which n tokens are used as a prompt for this metric?,"YOLO struggles in localizing objects correctly due to its strong spatial constraints, which limit the number of nearby objects that can be predicted, and its reliance on coarse features for bounding box predictions",The average LM perfomance of varying n for the EL metric is shown in Table 13.,"First, we show the Extraction Likelihood (EL) Forgetting Threshold values for n=[5,10,20,40] by measuring the value on the 10,000 validation instances unseen during training in Table 12. Next, we show the average LM performance (on the 9 classification benchmarks) where we perform unlearning on the LM on 32 samples until the target token sequences are forgotten (the EL & MA value are both lower than the threshold values) in Table 13. Performance shows the average of 5 random samplings."
"Why not just use membership inference attack recall [1,2] and exposure metric [3], which are commonly used and established metrics? These two basically do what the currently proposed metrics do.","YOLOv3 has limitations in terms of object alignment and performance on medium to large size objects, and struggles with the COCO average AP metric between.5 and.95 IOU","These metrics are dependent on the specific attacks, while ours is agnostic of the type of attack.","Previous work that explores to which extent LMs have memorized their training data approach the phenomenon with two different viewpoints. Some work view memorization of LMs simply as a threat to individual privacy (Carlini et al., 2021; 2022; Jagielski et al., 2022) and utilize metrics that quantify how much the LMs are susceptible to adversarial attacks. These metrics are mostly dependent on the specific types of attacks such as the membership inference attack (Shokri et al., 2017) and measure the privacy risks of LMs by quantifying the success rate of these attacks."
How was the value of n set to 10?,"Modifying the attention weights through fixed or masked attention allows for injecting patterns into the model, but beyond simple addition, more sophisticated techniques can be used to apply patterns back to the original model. These include:

1. Pattern-aware attention: Instead of fixing or masking the attention weights, the patterns can be incorporated into the attention mechanism itself. For example, using pattern-aware attention weights that depend on the input sequence and the predicted pattern.
2. Pattern-based regularization: Regularizing the model with a pattern-based loss function that encourages the model to produce outputs consistent with the predicted patterns.
3. Pattern-aware input embedding: Injecting patterns into the input embedding layer, so that the model is aware of the patterns from the very beginning.
4. Pattern-based output transformation: Applying patterns to the output of the model, for example, by using pattern-based post-processing techniques to modify the output of the model",The n value is set to 10 because we consider an extraction attack to be successfuly when 10 token sequences are successfully extracted by the LM.,"We set the n value to 10 since we empirically consider an extraction to be successful when 10 consecutive token sequences are successfully generated by the LM. We show varying the n with values from [5,10,20,40] in Appendix H."
What happens when we perform unlearning for really big LMs?,Yes,Larger LMs are stronger unlearners because they take fewer epochs for forgetting specific target token sequences and retains most of its previous capabilities compared to smaler LMs.,"We highlight five main observations regarding the results. (1) OPT LMs show a much lower EL10 and MA than GPT-NEO LMs, confirming that deduplicating the pretraining corpora is indeed helpful for mitigating privacy risks. (2) NEO + DPD+ enables effective protection against extraction attacks demonstrated via the lowest EL and MA score; however, it brings severe degradation of generation capabilities measured via the Average F1 score of the 4 dialogue generation tasks. (3) NEO + UL+ results in severe degradation of both classification and dialogue tasks for the 125M, only severe degradation of dialogue tasks for 1.3B LM while for the 2.7B LMs, it enables retaining most of its previous capabilities. (4) While the LMs scale to larger sizes, it takes fewer epochs for the target sequences to be forgotten. Together with (3), this implies that larger LMs are strong unlearners. (5) While NEO + UL+ provides stronger privacy protection than OPT without sacrificing its performance from NEO for the 2.7B LM, it is much more computationally efficient (3,500,000x) than re-training the underlying LM, which is required for all data preprocessing approaches."
What does the author mean by “empirically” consider some token sequences to be forgotten? ,Computational cost,"Since the forgetting definition is dependent on a held-out validation corpora, it is considered 'empirically' forgotten.","By utilizing both \textsc{EL}_{n} and MA, we empirically define a specific token sequence \bm{x} to be forgotten and is no longer susceptible to extraction attacks when the following conditions are met: where D^{\prime} represents a validation corpora not seen during training. In other words, we define \bm{x} to be forgotten when the \textsc{EL}_{n}(\bm{x}) and MA(\bm{x}) reach a value that is lower than the average \textsc{EL}_{n} and MA on token sequences that were not seen during training."
What was Memorization Accuracy Metric first used to quantify? ,"MobileNets are primarily built on depthwise separable convolutions and are designed to optimize for latency, yielding small and efficient models",MA was first used to quantify the training dynamics of large LMs.,MA quantifies how much f_{\theta} has memorized the given token sequences and was proposed by Tirumala et al. (2022) to analyze the training dynamics of large LMs.
What is the reason the standard deviation is not shown in the table?,"Assuming unobserved user-item pairs negative leads to limited performance for generative methods because it becomes less valid as user-item interactions get sparser, and the uncertainty of supervision degrades the performance for top-K recommendation",The standard deviation is not shown in the table because it is shown in the Appendix.,"For the actual target data used to quantify the privacy risks of the LMs, we sample instances from the Training Data Extraction Challenge 111https://github.com/google-research/lm-extraction-benchmark where 15,000 examples (each are 200 token sequences long) from 16 different domains of the Pile corpora that are identified to be somewhat easy-to-extract are provided. For our experiments, we randomly sample s samples from the 15,000 examples and make the underlying LM forget the s samples at once. As a default, we show the average results of 5 random samplings of s samples for all of our experimental settings. We only provide the average of the 5 samplings and do not separately report the standard deviation. Instead, we provide the results of each individual run in Appendix A."
How is the proposed work different from the previous works using Transformer-based VAE frameworks in terms of representation learning? ,"Five-fold cross-validation (CV) and leave-one-patient-out (LOO) are both methods for evaluating the performance of a model on unseen data, but they differ in how they partition the data for training and testing. In CV, the data is partitioned into five folds, and the model is trained and tested on each fold in turn, with the remaining four folds used for validation. In LOO, the data is partitioned such that each sample is used as a test set once, and the remaining samples are used for validation. LOO is generally considered a more stringent evaluation method, as it does not use any data from the test set for validation","The proposed work is different from previous studies using Transformer-based VAE frameworks, which achieves representation including global or hierarchical information of the given data, in that the learned representation is disentangled according to domain-specific inductive bias to control generated chords.","We concretely use the variational Transformer inspired by Lin et al. [22]. They used a Transformer-based model extended by a conditional VAE framework to gener- ate a response from a conditional context . We leverage this seq2seq architecture to achieve a variational neural machine translation (VNMT) from a given melody to the chords [23]–[25]. To the best of our knowledge, we are the ﬁrst to apply the VNMT approach to music generation. In particular, our approach is different from previous music generation studies using the variational Transformer, which mostly served as an autoencoder [26], [27]. Furthermore, we attempt to regularize the variational Transformer for controlling the chord outputs through a dis- entangled representation. Generating arbitrary sets of chords may not satisfy users who would like to create music based on their own tastes. In terms of building interactive music gen- eration systems as well as learning a good representation for sequential data, controllable generation with the VAE frame- work has mainly been approached by recent studies. These studies have aimed to learn disentangled representations for high-level musical features, such as pitch, rhythm, harmony, context, or arousal, through supervised learning [28]–[31]. Inspired by these studies, we use domain-speciﬁc induc- tive bias to achieve a disentangled representation for the well-summarized context of the target melody and chords. Furthermore, Choi et al. [26] proposed a Transformer-based autoencoder that achieved global representation for the musical contexts of polyphonic piano performance data. Jiang et al. [27] introduced a hierarchical Transformer VAE to learn context-sensitive melody representation with self-"
Why would melody harmonization task be important for understanding human composition?,"Yes, \delta is a hyperparameter",A melody harmonization task is important for understanding human composition since it aims to capture the long-term dependencies in music by constraining sets of chord progressions that can interact with a given melody.,"A melody harmonization task requires capturing the long-term dependencies in music since a constrained sets of chord progressions can consistently interact with a given melody [4]. This has motivated the use of linguistic tech- niques such as context-free grammar [5], genetic algo- rithms [6], or hidden Markov models (HMMs) [3], [7], [8]."
What is the benefit of using note-based representation over grid-based representations?,"By letting the stacked nonlinear layers fit a residual mapping instead of the original mapping, the deep residual learning framework addresses the degradation problem in deep convolutional neural networks","Note-based representation is better than grid-based representation in learning chord patterns. The reason is that learning with the grid-based representation can result in generating chord progression with ambiguous patterns or hierarchies. On the other hand, modeling the note-based representation can capture note patterns in a melody.","where e T , e N , S , and N denote the time-level embed- ding vectors, note-level embedding vectors, STHarm, and the number of melody notes, respectively, Embedding and Self-AttBlocks denote the embedding layer and L multi- head self-attention blocks that are identical to the vanilla Transformer, respectively [12], w ∗ denotes a sinusoidal posi- tional embedding scaled by a trainable weight [40], and TimeToNote is a novel method that we propose to convert the timewise embedding to the notewise embedding to capture the note patterns in a melody. Nevertheless, these LSTM-based studies had limitations in generating concrete chord structures. First, the models were unable to encode an original melodic structure despite their sequential architectures [4]. The notes in a melody were aggregated within a chord duration into a pitch-class histogram before being fed to the model. Second, the models did not explicitly consider capturing the patterns of chord pro- gressions. Chord labels correspond to the constant time grids (e.g., a bar or half-bar). Sequential modeling of grid-based chord labels is likely to result in ambiguous patterns or hier- archies of the generated outputs [8]."
The authors claim that LSTM-based approaches have failed to capture realistic pattern of chords. Is it true?,"The images were not selected randomly, but were picked by the authors","LSTM-based approaches have failed to capture realistic patterns of chords due to two reasons. The first reason is that they cannot encode an original melodic structure by aggregating melody notes for each chord into a pitch-class histogram before being fed to the model. The second reason is that they capture ambiguous patterns or hierarchies in chord progressions since they recurrently model grid-based chord labels. Empirically, it has been investigated that the LSTM-based models tend to generate some syncopated chord rhythms that can weaken the metrical boundaries, unlike real-world music.","Nevertheless, these LSTM-based studies had limitations in generating concrete chord structures. First, the models were unable to encode an original melodic structure despite their sequential architectures [4]. The notes in a melody were aggregated within a chord duration into a pitch-class histogram before being fed to the model. Second, the models did not explicitly consider capturing the patterns of chord pro- gressions. Chord labels correspond to the constant time grids (e.g., a bar or half-bar). Sequential modeling of grid-based chord labels is likely to result in ambiguous patterns or hier- archies of the generated outputs [8]. Figs. 4 and 5 show some of the actual samples from the listening test for all ﬁve models as well as the human- composed music. These samples reveal the strengths of the proposed models. First, Fig. 4 mainly shows that the proposed models tend to reproduce the binary metrical structure of the chords compared to the baseline models. The binary metric structure is close to real-world music, most of which has been composed of four beats and strongly inﬂuenced by metrical boundaries [52]. In contrast, the chords generated from the baseline models show some syncopated rhythms, which can weaken the metrical boundaries. Fig. 5 illustrates another advantage of the proposed models, which is that the majority of the chord roots tend to shift in intervals either of perfect fourth or ﬁfth according to the circle-of- ﬁfths rule. This aspect reﬂects conventional Western music theory, which serves as domain knowledge for modeling real-world music [51], [54]. Moreover, the proposed models are shown to generate some natural chromatic progressions according to the given melody. On the other hand, the baseline models show some short transitions on the circle-of-ﬁfths at arbitrary spots, in contrast to the melody with regular phrasings."
"Is TimeToNote method truly a novel idea to capture a musical hierarchy? It seems to be just a simple trick that also have been used in one of the previous music generation studies (MuseMorphose, 2021).","Hard attention models select one patch of the image to attend to at a time, while soft attention models place weights ""softly"" over all patches in the source image","TimeToNote method is different from similar approaches to capture musical hierarchy. First, it aims to aggregate grid-based information into musically meaningful units, while previous approaches map low-level musical units to high-level musical units, such as a bar. Moreover, the aggregated information preserves the length information of the original representation, which is also different from the previous studies that simply average-pooled the representation.","In the Time2Note procedure, we add the scaled positional embedding w T to e (S) T . Then, we transfer it to the notewise embedding e (S) N with average pooling by an alignment matrix M ∈ { 0 , 1 } T × N as (2), where M indicates the alignment path between a piano roll and a series of notes. This process enables each frame of the notewise embedding to preserve the information of the original note duration : However, conventional Transformer-based studies encoded music as a series of musical events [15]. Using event-based representations differs from how humans perceive a rendered or score-written melody for harmonization [16]. Instead, a grid-based melody representation can be more intuitive for modeling melodic patterns synchronized with chord labels [4], [17], [18]. In our work, we convert a melody into a more intuitive note-based representation, where each frame represents one note. To this end, we use a novel time-to-note compression method to map a binary piano roll representation into a note-based embedding."
"What does ""global key signature"" mean?","Sure! Here's my answer:

The non-pretrained Transformer-based models eventually reach optimal performance, but the ELMO-based non-pretrained models struggle with learning both tasks.

Reason: The non-pretrained Transformer-based models are able to learn the tasks with many fewer labeled examples compared to the ELMO-based models, suggesting that the pretraining task used for ELMO may not have been effective in capturing the relevant information for these tasks","""Global key signature"" means the harmonic context of music that is constrained to a certain range. For example, the C major key is constrained to have functionally important chords such as C, G, and F major chords.","The proposed architecture of VTHarm is inspired by [22]. VTHarm has an additional probabilistic encoder for a latent variable z , where z represents the global attribute of the aggregated melody and chords. We denote this encoder as the context encoder . We add a global key signature label as a conditional input token to the model. The key signature is essential for an arbitrary melody to obtain a certain harmonic context [41]. The key signature token can aid the model in specifying the latent space and sampling the outputs from the human-composed samples from CMD and HLSD include 72 different chord types with various amounts of musical tensions. 2) STHarm may generate common chords more fre- quently from the average chord distribution than the human- composed music, as shown in the lower diversity scores. Concretely, the most frequent chords in real-world music are diatonic chords such as the C, G, and F major chords in the C major key [9]. Since these chords have relatively less musical tension with respect to a melody, they are close to the melody under a music-theoretical space. Thus, these chords may obtain better coherence scores than other chords with more musical tension. Moreover, Human shows lower diversity scores than the variational models. We assume that this is because these mod- els can produce some infrequent chords far from the mean distribution of real-world music. The nature of stochastic generation models draws samples from the normal distribu- tion [49]. Some of the generated chords may violate the given key signature but increase the information outside the certain harmonic context. Hence, they may contribute to higher chord diversity than human-composed music. We conduct an ablation study to verify the beneﬁt of adding the conditional token c to VTHarm and rVTHarm. We assume that c provides key signature information that can efﬁciently constrain the latent space to a concrete harmonic context, improving the chord structuredness and reconstruction per- formance of the model. We compute the chord similarity metrics between the ground truth and generated chords from the VT models according to the presence of c . The results are demonstrated in Table 7. This table shows that the VT models without c mostly obtain worse scores for all similarity metrics than the models with c . This indicates that adding key signature information to the VT models in most cases not only enhances the one-by-one accuracy but also improves the structure of the generated chords to be more human-like."
"How ""chord coverage"" can represent chord complexity, which cannot be simply defined without considering the human perception of music?","The author chose the RWPE model to compare the effective k value because it is a widely used and effective absolute positional representation that can be easily combined with the self-attention mechanism, and because it is learnable and can capture complex positional information","""Chord coverage"" can represent chord complexity, as the corresponding scores are empirically correlated to ""Complexity"" scores that are collected by human participants during the listening test. ""Complexity"" metric represents how complex a human listener perceives the chord progression to be.","We expand the conventional criteria [10], [11] for deeper analysis of human judgment. Harmonicity measures how coherent the chords are with a given melody. Unexpected- ness measures how much the chords deviate from expecta- tion. Complexity measures how complex chord progression is perceived to be. Preference measures personal favor for chord progression [9]. Moreover, Human shows lower diversity scores than the variational models. We assume that this is because these mod- els can produce some infrequent chords far from the mean distribution of real-world music. The nature of stochastic generation models draws samples from the normal distribu- tion [49]. Some of the generated chords may violate the given key signature but increase the information outside the certain harmonic context. Hence, they may contribute to higher chord diversity than human-composed music. Table 5 shows that the results mainly support the quantitative evaluation results. In contrast, STHarm shows the highest H score regardless of melody awareness. This suggests that STHarm outputs plausible chords to listen to than the baseline models. For U and C, VTHarm shows the highest scores,"
Why does the objective for STHarm not include condition c?,"No. The ""memory of cases"" refers to a set of key-value pairs where the keys are misunderstood questions and the values are the corresponding user feedback to correct those misunderstandings. The model is able to leverage this memory to correct its mistakes on new, unseen examples. The prompt itself does not contain all of these cases as examples, but rather the model is able to use the memory to inform its understanding of the task","The objective of STHarm does not include condition c as it aims to find mean distribution for chords that maximizes the likelihood given a certain melody. STHarm may generate the chords that share the best-fit harmonic context with the melody through its objective. Therefore, STHarm does not need extra information that constrains the harmonic context to better predict harmonically coherent chords.","constrained chord distributions. In contrast, STHarm does not use this token since it ﬁnds the mean distribution for chords that best ﬁt a given melody. The main objective for STHarm is maximizing the log likelihood of the estimated chord sequence y given the melody x : human-composed samples from CMD and HLSD include 72 different chord types with various amounts of musical tensions. 2) STHarm may generate common chords more frequently from the average chord distribution than the human-composed music, as shown in the lower diversity scores. Concretely, the most frequent chords in real-world music are diatonic chords such as the C, G, and F major chords in the C major key [9]. Since these chords have relatively less musical tension with respect to a melody, they are close to the melody under a music-theoretical space. Thus, these chords may obtain better coherence scores than other chords with more musical tension."
What is the benifit of using the HLSD dataset that does not contain various key signatures for evaluating the models?,No,"Using the HLSD dataset without transposing to various key signatures, we can reproduce the baseline model performance with the same dataset setting to the previous studies and verify the proposed models compared to the baseline performance. Therefore, it is beneficial over only using a new dataset.","HLSD [13] is an online database of melody and chord annota- tions that cover various genres, such as the pop, new age, and original soundtracks. This dataset has been constructed on a crowdsourcing platform called TheoryTab, 1 in which users have transcribed a large number of high quality melodies and chords. This dataset contains the raw annotations of melodies and chords in XML format, JSON data of the symbolic fea- tures of melodies and chords, and piano-roll ﬁgures depicting the melody and chords. We use the JSON data for 9,218 songs divided into 13,335 parts. We also normalize all songs into C major or C minor, as in previous studies [10], [11]. Fol- lowing Sun et al. [11], we use 500 parts for the test set and the other 500 parts for the validation set. As a result, we use 32,619, 1,346, and 809 samples for the training, validation, and test sets, respectively."
Were the baseline models implemented from scratch or from existing codes from the original authors?,Training time and test time efficiency,"The baseline models are implemented from scratch, where the experimental settings are referred to the original settings in the corresponding papers.","The models are implemented and evaluated in Python 3 and the PyTorch deep learning framework of version 1.5.0. For training each model, we use one NVIDIA GeForce GTX 1080 Ti. We mostly refer to the previous implemen- tations [40], [48] when implementing the vanilla Trans- former. For implementing and training BLSTM and ONADE, we use the original settings [9], [11]. The gradients are all clipped to 1 for the learning stability during training of all models. VTHarm, rVTHarm, and ONADE are assessed with 10 test samples per melody due to their randomness."
